<!System=OMS	Version=3.3	Code=UTF-8	Data=1.0!>
//超短期功率预测信息监测
<CDQYC::GX.FengPDC	Date='2025-12-01'	Time='00-30-00'>
@	时间顺序列	功率预测	当前正在运行的机组总容量	功率预测<可用>
#	1	0.0000	158.7200	0.0000
#	2	0.0000	158.7200	0.0000
#	3	0.7900	158.7200	0.7900
#	4	1.2100	158.7200	1.2100
#	5	1.4900	158.7200	1.4900
#	6	1.9000	158.7200	1.9000
#	7	3.0600	158.7200	3.0600
#	8	3.1200	158.7200	3.1200
#	9	3.0600	158.7200	3.0600
#	10	2.7500	158.7200	2.7500
#	11	2.5400	158.7200	2.5400
#	12	7.0600	158.7200	7.0600
#	13	9.4500	158.7200	9.4500
#	14	9.2100	158.7200	9.2100
#	15	9.0200	158.7200	9.0200
#	16	9.0700	158.7200	9.0700
</CDQYC::GX.FengPDC>
