<!System=OMS	Version=3.3	Code=UTF-8	Data=1.0!>
//短期功率预测信息监测
<DQYC::GX.LiuHLDZ	Date='2025-12-15'	Time='00-15-00'>
@	时间顺序列	功率预测	计划开机容量	运行台数	
#	1	0.0000	83.6000	26	
#	2	0.0000	83.6000	26	
#	3	0.0000	83.6000	26	
#	4	0.0000	83.6000	26	
#	5	0.0000	83.6000	26	
#	6	0.0000	83.6000	26	
#	7	0.0000	83.6000	26	
#	8	0.0000	83.6000	26	
#	9	0.0000	83.6000	26	
#	10	0.0000	83.6000	26	
#	11	0.0000	83.6000	26	
#	12	0.0000	83.6000	26	
#	13	0.0000	83.6000	26	
#	14	0.0000	83.6000	26	
#	15	0.0000	83.6000	26	
#	16	0.0000	83.6000	26	
#	17	0.0000	83.6000	26	
#	18	0.0000	83.6000	26	
#	19	0.0000	83.6000	26	
#	20	0.0000	83.6000	26	
#	21	0.0000	83.6000	26	
#	22	0.0000	83.6000	26	
#	23	0.0000	83.6000	26	
#	24	0.0000	83.6000	26	
#	25	0.0000	83.6000	26	
#	26	0.0000	83.6000	26	
#	27	0.0000	83.6000	26	
#	28	0.0000	83.6000	26	
#	29	0.0000	83.6000	26	
#	30	0.1350	83.6000	26	
#	31	1.1340	83.6000	26	
#	32	2.6910	83.6000	26	
#	33	4.8690	83.6000	26	
#	34	7.3350	83.6000	26	
#	35	9.7470	83.6000	26	
#	36	12.7620	83.6000	26	
#	37	16.5060	83.6000	26	
#	38	21.1230	83.6000	26	
#	39	25.2540	83.6000	26	
#	40	28.5660	83.6000	26	
#	41	31.0320	83.6000	26	
#	42	33.4800	83.6000	26	
#	43	35.9730	83.6000	26	
#	44	38.5740	83.6000	26	
#	45	40.8240	83.6000	26	
#	46	43.0020	83.6000	26	
#	47	44.6310	83.6000	26	
#	48	46.2060	83.6000	26	
#	49	47.3310	83.6000	26	
#	50	48.4380	83.6000	26	
#	51	49.2210	83.6000	26	
#	52	49.8780	83.6000	26	
#	53	50.2200	83.6000	26	
#	54	50.2830	83.6000	26	
#	55	50.0670	83.6000	26	
#	56	49.8420	83.6000	26	
#	57	49.4370	83.6000	26	
#	58	48.9690	83.6000	26	
#	59	47.7000	83.6000	26	
#	60	45.6300	83.6000	26	
#	61	42.3090	83.6000	26	
#	62	38.0340	83.6000	26	
#	63	32.6610	83.6000	26	
#	64	26.4690	83.6000	26	
#	65	20.4120	83.6000	26	
#	66	15.3900	83.6000	26	
#	67	11.6910	83.6000	26	
#	68	8.7120	83.6000	26	
#	69	5.9850	83.6000	26	
#	70	3.4920	83.6000	26	
#	71	1.1970	83.6000	26	
#	72	0.0000	83.6000	26	
#	73	0.0000	83.6000	26	
#	74	0.0000	83.6000	26	
#	75	0.0000	83.6000	26	
#	76	0.0000	83.6000	26	
#	77	0.0000	83.6000	26	
#	78	0.0000	83.6000	26	
#	79	0.0000	83.6000	26	
#	80	0.0000	83.6000	26	
